Amount,Payment_Method,Bank,Previous_Failures,Attempt_Number,Error,Original_Status,Risk_Percentage,Risk_Level,Recovery_Action
7088,UPI,Bank_B,1,2,NONE,SUCCESS,36.26,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6834,UPI,Bank_D,0,1,NONE,FAILED,15.92,LOW,Continue payment normally.
11823,UPI,Bank_A,0,1,NONE,SUCCESS,13.1,LOW,Continue payment normally.
19938,CARD,Bank_A,0,1,NONE,SUCCESS,15.41,LOW,Continue payment normally.
17440,UPI,Bank_B,0,1,NONE,SUCCESS,15.27,LOW,Continue payment normally.
6961,UPI,Bank_A,2,3,NONE,SUCCESS,57.98,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3665,UPI,Bank_A,0,1,NONE,SUCCESS,16.21,LOW,Continue payment normally.
19792,UPI,Bank_D,0,1,NONE,SUCCESS,19.76,LOW,Continue payment normally.
10242,UPI,Bank_A,0,1,BANK_ERROR,SUCCESS,39.47,MEDIUM,Try another bank or payment method.
4754,UPI,Bank_C,3,4,BANK_ERROR,FAILED,96.01,HIGH,Try another bank or payment method.
15227,CARD,Bank_A,1,2,AUTH_ERROR,FAILED,73.81,HIGH,Complete authentication and retry the payment.
1658,UPI,Bank_C,0,1,NONE,SUCCESS,19.09,LOW,Continue payment normally.
17003,UPI,Bank_A,0,1,BANK_ERROR,FAILED,46.38,MEDIUM,Try another bank or payment method.
1387,UPI,Bank_B,0,1,NONE,SUCCESS,11.64,LOW,Continue payment normally.
19437,CARD,Bank_C,1,2,NETWORK_ERROR,FAILED,82.14,HIGH,Retry after a short delay or use another payment method.
6587,UPI,Bank_D,0,1,NONE,SUCCESS,20.04,LOW,Continue payment normally.
9962,CARD,Bank_C,0,1,NONE,SUCCESS,26.93,LOW,Continue payment normally.
16524,CARD,Bank_B,0,1,NONE,SUCCESS,18.22,LOW,Continue payment normally.
10823,CARD,Bank_A,1,2,NONE,FAILED,35.76,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
17580,NET_BANKING,Bank_B,0,1,NONE,FAILED,17.17,LOW,Continue payment normally.
8917,NET_BANKING,Bank_B,2,3,BANK_ERROR,FAILED,86.72,HIGH,Try another bank or payment method.
11268,UPI,Bank_B,2,3,AUTH_ERROR,FAILED,86.64,HIGH,Complete authentication and retry the payment.
5329,NET_BANKING,Bank_B,0,1,BANK_ERROR,FAILED,42.63,MEDIUM,Try another bank or payment method.
13561,UPI,Bank_A,0,1,BANK_ERROR,SUCCESS,37.03,MEDIUM,Try another bank or payment method.
17449,UPI,Bank_C,0,1,NONE,SUCCESS,21.59,LOW,Continue payment normally.
19744,NET_BANKING,Bank_B,0,1,NONE,FAILED,14.0,LOW,Continue payment normally.
11830,UPI,Bank_C,1,2,NONE,SUCCESS,42.79,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
16175,UPI,Bank_B,0,1,NONE,FAILED,14.88,LOW,Continue payment normally.
6007,CARD,Bank_D,0,1,NONE,FAILED,19.68,LOW,Continue payment normally.
3324,CARD,Bank_C,0,1,NONE,SUCCESS,27.88,LOW,Continue payment normally.
17564,UPI,Bank_C,1,2,NONE,FAILED,52.28,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2280,UPI,Bank_C,0,1,NONE,SUCCESS,16.88,LOW,Continue payment normally.
4636,UPI,Bank_B,2,3,NONE,SUCCESS,52.79,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1226,UPI,Bank_A,0,1,NONE,SUCCESS,14.79,LOW,Continue payment normally.
17458,UPI,Bank_B,0,1,NONE,FAILED,18.34,LOW,Continue payment normally.
245,UPI,Bank_C,0,1,NONE,SUCCESS,17.67,LOW,Continue payment normally.
879,UPI,Bank_A,2,3,BANK_ERROR,FAILED,84.38,HIGH,Try another bank or payment method.
854,UPI,Bank_C,1,2,NONE,FAILED,43.13,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2304,UPI,Bank_A,0,1,NONE,SUCCESS,12.38,LOW,Continue payment normally.
4452,NET_BANKING,Bank_A,2,3,NONE,FAILED,65.36,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12554,UPI,Bank_C,2,3,NONE,FAILED,72.25,HIGH,"Continue payment, but offer an alternate payment method if it fails."
13865,UPI,Bank_C,0,1,NONE,SUCCESS,21.41,LOW,Continue payment normally.
3291,CARD,Bank_B,0,1,NONE,FAILED,15.58,LOW,Continue payment normally.
7923,UPI,Bank_D,2,3,NONE,FAILED,62.86,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2349,NET_BANKING,Bank_A,0,1,BANK_ERROR,FAILED,37.88,MEDIUM,Try another bank or payment method.
9737,CARD,Bank_B,0,1,NONE,SUCCESS,18.42,LOW,Continue payment normally.
18619,UPI,Bank_D,1,2,BANK_ERROR,FAILED,77.6,HIGH,Try another bank or payment method.
12850,CARD,Bank_B,0,1,NONE,SUCCESS,14.22,LOW,Continue payment normally.
9561,UPI,Bank_D,0,1,NONE,SUCCESS,16.99,LOW,Continue payment normally.
10378,UPI,Bank_A,0,1,NONE,SUCCESS,13.81,LOW,Continue payment normally.
9884,UPI,Bank_B,0,1,NONE,SUCCESS,15.34,LOW,Continue payment normally.
19567,UPI,Bank_C,3,4,NETWORK_ERROR,FAILED,96.69,HIGH,Retry after a short delay or use another payment method.
12919,CARD,Bank_B,1,2,NONE,SUCCESS,42.04,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1420,UPI,Bank_C,0,1,NONE,SUCCESS,19.54,LOW,Continue payment normally.
1068,UPI,Bank_D,2,3,NONE,FAILED,62.45,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
9006,CARD,Bank_B,0,1,NONE,SUCCESS,20.26,LOW,Continue payment normally.
19014,CARD,Bank_B,0,1,NONE,SUCCESS,16.59,LOW,Continue payment normally.
7622,CARD,Bank_C,0,1,NONE,SUCCESS,23.46,LOW,Continue payment normally.
5358,UPI,Bank_D,0,1,NONE,SUCCESS,14.29,LOW,Continue payment normally.
2324,CARD,Bank_A,1,2,AUTH_ERROR,SUCCESS,69.76,MEDIUM,Complete authentication and retry the payment.
7265,UPI,Bank_B,0,1,NONE,SUCCESS,15.35,LOW,Continue payment normally.
11321,CARD,Bank_A,1,2,NONE,SUCCESS,39.56,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
19352,CARD,Bank_A,1,2,NETWORK_ERROR,FAILED,70.96,HIGH,Retry after a short delay or use another payment method.
13312,UPI,Bank_B,0,1,NONE,SUCCESS,11.94,LOW,Continue payment normally.
6681,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,25.44,LOW,Continue payment normally.
19221,CARD,Bank_A,0,1,NONE,SUCCESS,15.72,LOW,Continue payment normally.
1561,UPI,Bank_D,0,1,NONE,SUCCESS,15.3,LOW,Continue payment normally.
1642,CARD,Bank_A,2,3,AUTH_ERROR,FAILED,85.23,HIGH,Complete authentication and retry the payment.
432,UPI,Bank_C,0,1,NONE,SUCCESS,17.49,LOW,Continue payment normally.
9652,UPI,Bank_C,2,3,BANK_ERROR,FAILED,92.08,HIGH,Try another bank or payment method.
5433,UPI,Bank_A,0,1,NONE,SUCCESS,12.59,LOW,Continue payment normally.
13998,NET_BANKING,Bank_C,3,4,BANK_ERROR,FAILED,97.34,HIGH,Try another bank or payment method.
3698,UPI,Bank_A,1,2,NONE,FAILED,31.41,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11256,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,26.81,LOW,Continue payment normally.
18856,UPI,Bank_C,1,2,AUTH_ERROR,FAILED,79.87,HIGH,Complete authentication and retry the payment.
9832,UPI,Bank_B,0,1,NONE,SUCCESS,15.35,LOW,Continue payment normally.
11074,NET_BANKING,Bank_B,1,2,BANK_ERROR,SUCCESS,71.4,HIGH,Try another bank or payment method.
10557,CARD,Bank_A,0,1,NONE,SUCCESS,17.34,LOW,Continue payment normally.
6186,CARD,Bank_B,2,3,NONE,SUCCESS,57.16,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
897,CARD,Bank_C,1,2,NETWORK_ERROR,FAILED,76.82,HIGH,Retry after a short delay or use another payment method.
1110,UPI,Bank_B,0,1,NONE,SUCCESS,12.43,LOW,Continue payment normally.
5834,CARD,Bank_D,0,1,NONE,FAILED,23.64,LOW,Continue payment normally.
7592,UPI,Bank_A,3,4,NETWORK_ERROR,FAILED,94.64,HIGH,Retry after a short delay or use another payment method.
15741,UPI,Bank_B,0,1,BANK_ERROR,FAILED,38.46,MEDIUM,Try another bank or payment method.
18361,UPI,Bank_A,0,1,NONE,SUCCESS,14.36,LOW,Continue payment normally.
4819,NET_BANKING,Bank_D,0,1,BANK_ERROR,FAILED,54.59,MEDIUM,Try another bank or payment method.
13593,UPI,Bank_B,0,1,NONE,FAILED,13.92,LOW,Continue payment normally.
18349,UPI,Bank_C,2,3,BANK_ERROR,FAILED,92.69,HIGH,Try another bank or payment method.
6365,UPI,Bank_C,0,1,NONE,SUCCESS,24.28,LOW,Continue payment normally.
3290,UPI,Bank_A,0,1,NONE,SUCCESS,11.98,LOW,Continue payment normally.
16144,UPI,Bank_D,0,1,NONE,FAILED,16.98,LOW,Continue payment normally.
11167,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,17.2,LOW,Continue payment normally.
6722,UPI,Bank_C,0,1,NONE,FAILED,24.09,LOW,Continue payment normally.
7208,CARD,Bank_D,0,1,NONE,SUCCESS,20.43,LOW,Continue payment normally.
10269,CARD,Bank_A,0,1,NONE,SUCCESS,13.63,LOW,Continue payment normally.
13052,UPI,Bank_A,2,3,NETWORK_ERROR,FAILED,86.25,HIGH,Retry after a short delay or use another payment method.
7742,UPI,Bank_A,0,1,NONE,SUCCESS,11.87,LOW,Continue payment normally.
6395,UPI,Bank_D,1,2,NONE,FAILED,37.91,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
17171,UPI,Bank_A,1,2,NONE,SUCCESS,40.45,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18918,NET_BANKING,Bank_A,1,2,NONE,SUCCESS,38.55,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15317,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,21.1,LOW,Continue payment normally.
592,UPI,Bank_B,1,2,NONE,FAILED,28.41,LOW,Continue payment normally.
7373,UPI,Bank_C,2,3,NETWORK_ERROR,FAILED,89.71,HIGH,Retry after a short delay or use another payment method.
9908,NET_BANKING,Bank_C,2,3,NONE,SUCCESS,78.31,HIGH,"Continue payment, but offer an alternate payment method if it fails."
7374,UPI,Bank_B,0,1,NONE,SUCCESS,13.27,LOW,Continue payment normally.
17191,CARD,Bank_B,1,2,CARD_DECLINED,FAILED,67.53,MEDIUM,Try UPI or Net Banking instead of the card.
358,UPI,Bank_B,0,1,NONE,FAILED,13.76,LOW,Continue payment normally.
8622,UPI,Bank_D,2,3,BANK_ERROR,FAILED,85.42,HIGH,Try another bank or payment method.
4298,UPI,Bank_A,0,1,NONE,FAILED,14.87,LOW,Continue payment normally.
9220,NET_BANKING,Bank_B,1,2,NETWORK_ERROR,FAILED,71.7,HIGH,Retry after a short delay or use another payment method.
1276,UPI,Bank_D,1,2,NONE,SUCCESS,38.68,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13271,UPI,Bank_D,1,2,NONE,SUCCESS,41.32,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
14742,CARD,Bank_B,1,2,NONE,SUCCESS,35.09,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5581,CARD,Bank_B,2,3,NETWORK_ERROR,FAILED,86.58,HIGH,Retry after a short delay or use another payment method.
14846,UPI,Bank_B,2,3,BANK_ERROR,FAILED,84.95,HIGH,Try another bank or payment method.
13641,CARD,Bank_A,0,1,NONE,SUCCESS,19.54,LOW,Continue payment normally.
4530,CARD,Bank_A,0,1,NONE,SUCCESS,14.14,LOW,Continue payment normally.
1121,UPI,Bank_A,0,1,NONE,SUCCESS,11.73,LOW,Continue payment normally.
5395,CARD,Bank_B,0,1,NONE,SUCCESS,15.08,LOW,Continue payment normally.
9713,UPI,Bank_A,0,1,NONE,SUCCESS,14.48,LOW,Continue payment normally.
315,UPI,Bank_A,1,2,NONE,SUCCESS,25.78,LOW,Continue payment normally.
10659,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,18.92,LOW,Continue payment normally.
9947,NET_BANKING,Bank_B,3,4,NETWORK_ERROR,FAILED,95.56,HIGH,Retry after a short delay or use another payment method.
9717,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,24.35,LOW,Continue payment normally.
15689,UPI,Bank_A,0,1,NONE,SUCCESS,14.75,LOW,Continue payment normally.
17944,UPI,Bank_A,0,1,NONE,SUCCESS,15.93,LOW,Continue payment normally.
656,UPI,Bank_D,1,2,NONE,SUCCESS,32.41,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15277,CARD,Bank_D,1,2,NONE,FAILED,45.05,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2026,UPI,Bank_C,0,1,NONE,SUCCESS,21.71,LOW,Continue payment normally.
3218,NET_BANKING,Bank_A,2,3,NETWORK_ERROR,FAILED,88.08,HIGH,Retry after a short delay or use another payment method.
11103,UPI,Bank_D,1,2,BANK_ERROR,SUCCESS,68.53,MEDIUM,Try another bank or payment method.
18348,UPI,Bank_A,0,1,NONE,SUCCESS,14.0,LOW,Continue payment normally.
4117,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,12.05,LOW,Continue payment normally.
13525,CARD,Bank_A,0,1,NONE,SUCCESS,18.31,LOW,Continue payment normally.
8352,CARD,Bank_B,1,2,NONE,FAILED,36.97,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13809,CARD,Bank_A,0,1,NONE,SUCCESS,16.57,LOW,Continue payment normally.
7342,CARD,Bank_A,0,1,CARD_DECLINED,SUCCESS,39.63,MEDIUM,Try UPI or Net Banking instead of the card.
13745,UPI,Bank_D,0,1,BANK_ERROR,FAILED,49.88,MEDIUM,Try another bank or payment method.
2142,NET_BANKING,Bank_B,0,1,NETWORK_ERROR,FAILED,48.08,MEDIUM,Retry after a short delay or use another payment method.
14234,UPI,Bank_C,2,3,BANK_ERROR,FAILED,88.63,HIGH,Try another bank or payment method.
14395,UPI,Bank_B,0,1,BANK_ERROR,FAILED,35.92,MEDIUM,Try another bank or payment method.
10057,CARD,Bank_D,2,3,NONE,SUCCESS,66.34,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18806,UPI,Bank_B,0,1,NONE,FAILED,16.75,LOW,Continue payment normally.
16060,CARD,Bank_B,0,1,CARD_DECLINED,FAILED,41.8,MEDIUM,Try UPI or Net Banking instead of the card.
4729,UPI,Bank_A,2,3,AUTH_ERROR,FAILED,84.27,HIGH,Complete authentication and retry the payment.
13901,CARD,Bank_B,0,1,NONE,SUCCESS,17.52,LOW,Continue payment normally.
9439,UPI,Bank_A,0,1,NONE,SUCCESS,12.42,LOW,Continue payment normally.
1872,UPI,Bank_A,0,1,NETWORK_ERROR,SUCCESS,43.3,MEDIUM,Retry after a short delay or use another payment method.
13992,CARD,Bank_B,0,1,NONE,SUCCESS,18.24,LOW,Continue payment normally.
784,UPI,Bank_A,1,2,NONE,FAILED,30.32,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1879,CARD,Bank_B,0,1,AUTH_ERROR,SUCCESS,43.1,MEDIUM,Complete authentication and retry the payment.
8357,CARD,Bank_A,0,1,NONE,FAILED,15.28,LOW,Continue payment normally.
2681,UPI,Bank_C,0,1,NONE,SUCCESS,20.02,LOW,Continue payment normally.
14202,UPI,Bank_D,0,1,NONE,SUCCESS,17.55,LOW,Continue payment normally.
4313,UPI,Bank_D,1,2,NONE,FAILED,38.41,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6574,UPI,Bank_D,1,2,BANK_ERROR,SUCCESS,70.4,HIGH,Try another bank or payment method.
915,CARD,Bank_D,3,4,NETWORK_ERROR,FAILED,96.49,HIGH,Retry after a short delay or use another payment method.
2303,UPI,Bank_D,0,1,NONE,SUCCESS,14.81,LOW,Continue payment normally.
15355,UPI,Bank_C,0,1,NONE,FAILED,24.81,LOW,Continue payment normally.
4118,UPI,Bank_D,0,1,NONE,SUCCESS,16.56,LOW,Continue payment normally.
7148,UPI,Bank_A,0,1,NONE,SUCCESS,14.1,LOW,Continue payment normally.
1410,UPI,Bank_A,0,1,NONE,SUCCESS,13.85,LOW,Continue payment normally.
13637,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,26.41,LOW,Continue payment normally.
1739,UPI,Bank_C,0,1,NONE,SUCCESS,21.41,LOW,Continue payment normally.
14039,UPI,Bank_A,3,4,NONE,SUCCESS,81.08,HIGH,"Continue payment, but offer an alternate payment method if it fails."
5060,CARD,Bank_C,0,1,NONE,SUCCESS,21.81,LOW,Continue payment normally.
15614,UPI,Bank_C,3,4,BANK_ERROR,FAILED,96.92,HIGH,Try another bank or payment method.
19497,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,18.57,LOW,Continue payment normally.
4716,CARD,Bank_A,0,1,NONE,SUCCESS,17.28,LOW,Continue payment normally.
14482,UPI,Bank_C,0,1,NONE,SUCCESS,21.8,LOW,Continue payment normally.
16297,UPI,Bank_C,0,1,NONE,SUCCESS,24.99,LOW,Continue payment normally.
1985,CARD,Bank_B,1,2,NONE,FAILED,35.61,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
19861,NET_BANKING,Bank_C,1,2,BANK_ERROR,FAILED,82.51,HIGH,Try another bank or payment method.
12057,UPI,Bank_D,0,1,NONE,SUCCESS,16.97,LOW,Continue payment normally.
11371,UPI,Bank_A,0,1,NONE,SUCCESS,14.32,LOW,Continue payment normally.
3067,NET_BANKING,Bank_A,1,2,NONE,SUCCESS,29.83,LOW,Continue payment normally.
4116,UPI,Bank_A,1,2,NONE,FAILED,28.55,LOW,Continue payment normally.
5261,UPI,Bank_A,1,2,NONE,SUCCESS,37.09,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
16609,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,85.91,HIGH,Try UPI or Net Banking instead of the card.
17216,UPI,Bank_C,0,1,NONE,SUCCESS,22.62,LOW,Continue payment normally.
2160,UPI,Bank_D,0,1,NONE,SUCCESS,18.24,LOW,Continue payment normally.
19474,UPI,Bank_A,0,1,BANK_ERROR,FAILED,43.21,MEDIUM,Try another bank or payment method.
19514,CARD,Bank_B,0,1,NONE,SUCCESS,20.21,LOW,Continue payment normally.
5205,UPI,Bank_B,1,2,NONE,SUCCESS,36.08,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1568,NET_BANKING,Bank_B,1,2,BANK_ERROR,FAILED,69.37,MEDIUM,Try another bank or payment method.
16859,CARD,Bank_C,0,1,AUTH_ERROR,FAILED,60.67,MEDIUM,Complete authentication and retry the payment.
16113,CARD,Bank_C,0,1,NONE,FAILED,24.1,LOW,Continue payment normally.
10311,UPI,Bank_A,0,1,NONE,SUCCESS,11.7,LOW,Continue payment normally.
19040,UPI,Bank_C,3,4,AUTH_ERROR,FAILED,96.68,HIGH,Complete authentication and retry the payment.
8769,UPI,Bank_A,0,1,NONE,SUCCESS,17.26,LOW,Continue payment normally.
14824,NET_BANKING,Bank_C,0,1,AUTH_ERROR,FAILED,54.58,MEDIUM,Complete authentication and retry the payment.
7943,UPI,Bank_B,2,3,NETWORK_ERROR,FAILED,87.58,HIGH,Retry after a short delay or use another payment method.
19683,UPI,Bank_D,0,1,NONE,SUCCESS,17.59,LOW,Continue payment normally.
8434,UPI,Bank_D,2,3,NONE,FAILED,69.32,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
9084,NET_BANKING,Bank_A,0,1,NONE,FAILED,16.57,LOW,Continue payment normally.
9739,UPI,Bank_B,0,1,NONE,SUCCESS,15.13,LOW,Continue payment normally.
3781,CARD,Bank_D,0,1,CARD_DECLINED,SUCCESS,48.33,MEDIUM,Try UPI or Net Banking instead of the card.
11346,UPI,Bank_B,0,1,NONE,SUCCESS,11.87,LOW,Continue payment normally.
15490,CARD,Bank_B,0,1,NONE,FAILED,17.11,LOW,Continue payment normally.
9921,UPI,Bank_D,0,1,NONE,SUCCESS,15.99,LOW,Continue payment normally.
1031,UPI,Bank_D,0,1,NONE,SUCCESS,16.26,LOW,Continue payment normally.
7948,NET_BANKING,Bank_C,2,3,NETWORK_ERROR,FAILED,93.53,HIGH,Retry after a short delay or use another payment method.
8189,CARD,Bank_C,0,1,AUTH_ERROR,FAILED,56.67,MEDIUM,Complete authentication and retry the payment.
12167,UPI,Bank_C,2,3,BANK_ERROR,FAILED,89.45,HIGH,Try another bank or payment method.
5266,CARD,Bank_B,0,1,NONE,SUCCESS,16.31,LOW,Continue payment normally.
17609,CARD,Bank_A,3,4,AUTH_ERROR,FAILED,95.95,HIGH,Complete authentication and retry the payment.
15329,CARD,Bank_D,0,1,NONE,SUCCESS,21.76,LOW,Continue payment normally.
16360,UPI,Bank_A,0,1,AUTH_ERROR,SUCCESS,38.73,MEDIUM,Complete authentication and retry the payment.
3558,UPI,Bank_A,0,1,NONE,SUCCESS,13.8,LOW,Continue payment normally.
19721,CARD,Bank_D,0,1,NONE,FAILED,27.35,LOW,Continue payment normally.
10417,UPI,Bank_B,1,2,NETWORK_ERROR,FAILED,61.73,MEDIUM,Retry after a short delay or use another payment method.
12131,CARD,Bank_C,0,1,NONE,SUCCESS,24.13,LOW,Continue payment normally.
2562,UPI,Bank_B,1,2,NONE,SUCCESS,30.21,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13504,CARD,Bank_B,2,3,NONE,FAILED,65.12,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12600,NET_BANKING,Bank_A,0,1,NONE,FAILED,19.52,LOW,Continue payment normally.
4008,UPI,Bank_A,0,1,NONE,SUCCESS,12.41,LOW,Continue payment normally.
4920,UPI,Bank_B,0,1,NONE,FAILED,13.1,LOW,Continue payment normally.
9549,UPI,Bank_C,1,2,AUTH_ERROR,FAILED,78.08,HIGH,Complete authentication and retry the payment.
5381,NET_BANKING,Bank_C,0,1,NETWORK_ERROR,FAILED,55.25,MEDIUM,Retry after a short delay or use another payment method.
17067,UPI,Bank_D,1,2,BANK_ERROR,FAILED,74.43,HIGH,Try another bank or payment method.
15129,UPI,Bank_B,0,1,NONE,SUCCESS,15.34,LOW,Continue payment normally.
7720,NET_BANKING,Bank_A,3,4,BANK_ERROR,FAILED,94.0,HIGH,Try another bank or payment method.
18461,UPI,Bank_A,0,1,BANK_ERROR,SUCCESS,46.02,MEDIUM,Try another bank or payment method.
12688,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,18.31,LOW,Continue payment normally.
6664,UPI,Bank_C,0,1,NONE,SUCCESS,20.78,LOW,Continue payment normally.
619,UPI,Bank_C,2,3,NONE,FAILED,63.43,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
506,CARD,Bank_C,0,1,NONE,SUCCESS,19.64,LOW,Continue payment normally.
1913,CARD,Bank_A,0,1,CARD_DECLINED,SUCCESS,40.71,MEDIUM,Try UPI or Net Banking instead of the card.
13796,UPI,Bank_A,0,1,NONE,SUCCESS,12.31,LOW,Continue payment normally.
12698,UPI,Bank_B,0,1,NONE,SUCCESS,15.36,LOW,Continue payment normally.
4470,UPI,Bank_C,1,2,NONE,FAILED,38.44,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5129,CARD,Bank_A,1,2,NONE,SUCCESS,31.81,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13157,UPI,Bank_D,3,4,NETWORK_ERROR,FAILED,96.9,HIGH,Retry after a short delay or use another payment method.
19013,UPI,Bank_D,0,1,NONE,FAILED,20.62,LOW,Continue payment normally.
2760,CARD,Bank_C,3,4,CARD_DECLINED,FAILED,96.25,HIGH,Try UPI or Net Banking instead of the card.
12285,UPI,Bank_B,0,1,NONE,SUCCESS,13.55,LOW,Continue payment normally.
1018,UPI,Bank_A,0,1,NONE,SUCCESS,11.4,LOW,Continue payment normally.
14815,UPI,Bank_C,0,1,NONE,SUCCESS,22.98,LOW,Continue payment normally.
15033,UPI,Bank_D,0,1,NONE,SUCCESS,16.82,LOW,Continue payment normally.
18138,CARD,Bank_A,0,1,NONE,FAILED,21.18,LOW,Continue payment normally.
19408,NET_BANKING,Bank_A,1,2,NONE,SUCCESS,34.32,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5545,CARD,Bank_A,0,1,NONE,FAILED,17.18,LOW,Continue payment normally.
16500,CARD,Bank_C,1,2,NETWORK_ERROR,FAILED,81.4,HIGH,Retry after a short delay or use another payment method.
18396,UPI,Bank_D,1,2,NETWORK_ERROR,SUCCESS,77.12,HIGH,Retry after a short delay or use another payment method.
19765,NET_BANKING,Bank_A,1,2,NONE,FAILED,41.05,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12436,CARD,Bank_B,0,1,NONE,SUCCESS,18.42,LOW,Continue payment normally.
4051,UPI,Bank_B,3,4,BANK_ERROR,FAILED,93.88,HIGH,Try another bank or payment method.
12433,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,16.31,LOW,Continue payment normally.
8762,CARD,Bank_A,0,1,NONE,SUCCESS,15.77,LOW,Continue payment normally.
7541,CARD,Bank_A,1,2,NONE,SUCCESS,35.57,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
7724,UPI,Bank_C,0,1,NONE,SUCCESS,19.24,LOW,Continue payment normally.
5122,UPI,Bank_C,3,4,BANK_ERROR,FAILED,96.2,HIGH,Try another bank or payment method.
10869,UPI,Bank_A,2,3,AUTH_ERROR,FAILED,86.17,HIGH,Complete authentication and retry the payment.
11539,UPI,Bank_C,0,1,NONE,SUCCESS,17.33,LOW,Continue payment normally.
15204,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,16.5,LOW,Continue payment normally.
7723,UPI,Bank_D,2,3,BANK_ERROR,FAILED,88.65,HIGH,Try another bank or payment method.
2691,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,13.47,LOW,Continue payment normally.
16628,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,22.44,LOW,Continue payment normally.
7979,UPI,Bank_A,0,1,NONE,SUCCESS,13.1,LOW,Continue payment normally.
8501,UPI,Bank_D,0,1,NONE,FAILED,16.4,LOW,Continue payment normally.
6884,UPI,Bank_C,2,3,AUTH_ERROR,FAILED,89.54,HIGH,Complete authentication and retry the payment.
1674,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,32.19,MEDIUM,Try another bank or payment method.
8491,UPI,Bank_C,0,1,NONE,FAILED,19.61,LOW,Continue payment normally.
2665,UPI,Bank_D,0,1,NONE,SUCCESS,15.26,LOW,Continue payment normally.
6329,CARD,Bank_B,0,1,NONE,SUCCESS,15.64,LOW,Continue payment normally.
174,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,13.64,LOW,Continue payment normally.
223,NET_BANKING,Bank_D,1,2,BANK_ERROR,FAILED,69.73,MEDIUM,Try another bank or payment method.
3282,CARD,Bank_A,0,1,NONE,SUCCESS,17.47,LOW,Continue payment normally.
3165,UPI,Bank_A,0,1,NONE,SUCCESS,14.68,LOW,Continue payment normally.
7359,UPI,Bank_B,0,1,NONE,SUCCESS,14.96,LOW,Continue payment normally.
3506,UPI,Bank_C,0,1,NONE,SUCCESS,17.78,LOW,Continue payment normally.
8882,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,18.2,LOW,Continue payment normally.
9210,NET_BANKING,Bank_B,1,2,NONE,SUCCESS,34.22,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
